Inspection ID,FEI Number,Legal Name,City Name,Country Name,Country Code,Street Address Line 1,Inspection End Date,Classification Code,Product Type,Center,Project Area,Posted Citations
1236771,3004513977,Micro Orgo Chem,Vapi,India,IN,"C-1/B, 57, Lic Sector, Gidc",04/18/2024,OAI,Drugs,CDER,Drug Quality Assurance,No
847817,3004540156,Wockhardt Limited,Aurangabad,India,IN,"Plot B - 15/2, Midc Area; Waluj",07/30/2013,OAI,Drugs,CDER,Drug Quality Assurance,No
915572,3004540156,Wockhardt Limited,Aurangabad,India,IN,"Plot B - 15/2, Midc Area; Waluj",02/13/2015,OAI,Drugs,CDER,Drug Quality Assurance,No
868592,3004544153,Sipra Labs Limited,Hyderabad,India,IN,"Adjacent To Post Office, 7 - 2 - 1813/5/A Industrial Estate",03/01/2014,OAI,Drugs,CDER,Drug Quality Assurance,No
676775,3004610460,Baxter Pharmaceuticals India Pvt Ltd,Ahmedabad,India,IN,"Village Vasana Chacharwadi, Taluka Sanand",06/16/2010,OAI,Drugs,CDER,Drug Quality Assurance,No
1028732,3004610460,Baxter Pharmaceuticals India Pvt Ltd,Ahmedabad,India,IN,"Village Vasana Chacharwadi, Taluka Sanand",08/04/2017,OAI,Drugs,CDER,Drug Quality Assurance,No
1195842,3004610460,Baxter Pharmaceuticals India Pvt Ltd,Ahmedabad,India,IN,"Village Vasana Chacharwadi, Taluka Sanand",01/27/2023,OAI,Drugs,CDER,Drug Quality Assurance,Yes
1082414,3004611182,Apitoria Pharma Private Limited,Srikakulam,India,IN,"Unit-IV, Sy.No's.52,53,58,59,61 to 78,127&128, Pydibhimavaram V &, Sy.No 1,2,4 to 9,11,29,30,31&32, Chittivalasa V, Ranasthalam Mandal",02/09/2019,OAI,Drugs,CDER,Drug Quality Assurance,No
1170118,3004672766,Glenmark Pharmaceuticals Limited,Colvale,India,IN,"Plot No S - 7, Colvale Industrial Estate",05/20/2022,OAI,Drugs,CDER,Drug Quality Assurance,Yes
631126,3004674350,"Nanjing Pharmaceutical Factory Co., Ltd.",Nanjing,China,CN,"9 Fang Shuilu, Liuhe",09/25/2009,OAI,Drugs,CDER,Drug Quality Assurance,No
1025809,3004674350,"Nanjing Pharmaceutical Factory Co., Ltd.",Nanjing,China,CN,"9 Fang Shuilu, Liuhe",09/15/2017,OAI,Drugs,CDER,Drug Quality Assurance,No
1249388,3004790309,Tyche Industries Ltd.,Kakinada,India,IN,6 - 223 Sarpavaram (V),08/16/2024,OAI,Drugs,CDER,Drug Quality Assurance,No
1014502,3004819810,"Zhengzhou Minzhong Pharmaceutical Co., Ltd.",Zhengzhou,China,CN,Intersection Of Sigangliandong Ave And Zhengshang Rd,05/11/2017,OAI,Drugs,CDER,Drug Quality Assurance,No
1049988,3004819810,"Zhengzhou Minzhong Pharmaceutical Co., Ltd.",Zhengzhou,China,CN,Intersection Of Sigangliandong Ave And Zhengshang Rd,04/23/2018,OAI,Drugs,CDER,Drug Quality Assurance,No
